Cuisine,NumberOfReviews,Rating,RestaurantID
Chinese,1353,4,97q5nUQTuBo_h00XCxna2A
Chinese,112,3.5,8FJ8XVa-duF8rPeyfscUPg
Chinese,229,4,bcqTacyE-0XDaZYG_xbTBQ
Chinese,474,4,Va_mnsEvBghHXvc7uZIWJQ
Chinese,464,4,oe8GEFE4QLFAKt87y7zcgA
Chinese,128,3,WRRs3smfm6rHP5k4Slzr3w
Chinese,463,4,B87c3bE_u53yNYO1cmHSIw
Chinese,145,4,omOPvWNdukvWOC0peXPyng
Chinese,1365,4,Lbs8QBRN1U7IYBo5Mcv-RQ
Chinese,384,3.5,Qn-qGoIkj-9uApdxb_VTeA
Chinese,8,4,vSkCDRWX6VvP4PJHHFgoDw
Chinese,21,4.5,4p5Fzyt3-mEYFKIYqZ54aA
Chinese,58,4,yDfgB1nvvuABZVzVjoJV7A
Chinese,10,4,_fZQDgmasvWBtCTj9583lg
Chinese,688,3.5,EFihj7vsRRXiF5la-UURyw
Chinese,218,3.5,R3UNnA8EbjhNWBHS0wJ0VA
Chinese,54,3,01m-oqxaCifh0s0eU03bBg
Chinese,44,3,hWkbadE0u-Eiqg9SAm176Q
Chinese,161,3.5,NmJ2xtfZrscfWB_a5wEbXQ
Chinese,33,4.5,k8GFfCXO2FIIJIo0ICYSRA
Chinese,18,5,tA_AoGEL_oGllbU2j77Shw
Chinese,146,3.5,unz_YBwCWg-O5id5rxSyDA
Chinese,158,4,WIj12zDqIbBucW1hXYhrew
Chinese,138,3,gQ6DNeLNWQV-zwWyuFeBpg
Chinese,734,3.5,rEbwps11tIERRkwQrIXQog
Chinese,52,4,5TnBfeoBpxPPwIXMGBMasg
Chinese,73,3.5,3ESDUFulPVoMJdsqPQGm0A
Chinese,103,4,ZdLS7gD1ulmCPkqNc9_S3A
Chinese,1352,3.5,rYw5rQbWRX9buZHZbxqWdA
Chinese,92,3.5,KSYV3rNYaKWW-AHN4_i-7A
Chinese,758,3.5,uaFHoq-a5XqxF-bsOK9_Qg
Chinese,26,4,EN9_LsFpY44Hkzcnu0jfIg
Chinese,72,3,ybQV8joopvU1_gG2RwLRog
Chinese,283,3.5,AgTj_2PYIKP519hexQCvCg
Chinese,1137,3.5,zubN8Ve-RyoljRZV4NRxEQ
Chinese,81,3.5,E1QQuFMX7DAEt8jV4attkA
Chinese,99,4,5RjZCsXuWPclyrDsnsXw7w
Chinese,175,4,WzdVUuFIv1JzLPTZRnTjVA
Chinese,70,4.5,XfHgiIsoo1Pr_v04bx9ptg
Chinese,97,3.5,U5dCWjAxrvLLMH1ErpGfvw
Chinese,348,3.5,l1nX-f46dmOEmYPoiuLSaw
Chinese,23,3.5,Cyv-tW4BljwWnP16HI_zAg
Chinese,12,3.5,BbODF2tZuw4xW_RFwMzwRg
Chinese,10,3.5,L6fT2SWSRlwBEc3jWqV2Ig
Chinese,79,4,ru9KtvY8f_b2SKrKwtS3CA
Chinese,235,4,Lp8vAE5nHSt5zbu-lSGK8A
Chinese,27,3.5,OX2B4KARPKNTxC39wpcqDA
Chinese,134,4,mxjv5RgkTr5qw3wjr2fXmA
Chinese,22,3.5,h4co9O0SLuvhTtr_Cs9IIQ
Chinese,29,3,wxUTM-FkpCvnoTGJfSXkWg
Chinese,108,3,MYPes7EWP5aLiVG1Z_9eFQ
Chinese,188,3,6kCo3xb87Sc3Aa5ZSWzNnw
Chinese,21,3.5,e-6UcplEErq2Hj14-eiM6Q
Chinese,157,3.5,KBZQN540Xz6LbXLRVOMc0w
Chinese,366,3.5,RkcQl4uEJWblWf4xX8ssqQ
Chinese,314,4,AvTezlpt3GXTdSEnXbHP4w
Chinese,4,4.5,zWDiH7KpUhRhv1cPNExMDg
Chinese,64,4.5,rBUTVjRs5CcEMe3dfVRZJQ
Chinese,90,4.5,_Ge2eC89Z-jlaDDWglfT8g
Chinese,252,3.5,PQ2ZlhuTlJpvMUgvsAwtmQ
Chinese,10,4,PRd1P_8glLwB5cNO-hFEcw
Chinese,252,3.5,Nt3Y26a6OMtdBe8xMMJjqQ
Chinese,113,3,7hh2eP4HVkyjtpcqeITk3Q
Chinese,90,3.5,zyG1GIU3KnIZ3bOVGgJXlA
Chinese,341,3.5,ePVlFbTzdVQFWie__kdplg
Chinese,72,4,NjBgTtcJgdXKLvqYt3C8CQ
Chinese,28,4,y8xZmhrp6zKnxJNtqFa_8g
Chinese,43,3.5,w0pDi_iMZd5MqYQ7t5q1dQ
Chinese,176,3,dTZ-q8CwEDo9iVKM0tydnQ
Chinese,11,3,AjZ9hwJRu77jgWIrnhsGcg
Chinese,503,3.5,B7bxdtvLYR7Nmex4AIFd4w
Chinese,74,3.5,RffIwNrMmEf5auDVP1eURA
Chinese,5,4,EgBPFtixZK9VhRtFsobDxg
Chinese,188,3,fUhBM10aNrkVGvHJ2Hbhqw
Chinese,88,3,GJZnf3B-ADjlCV1NXsHvGQ
Chinese,28,4,lv0qUfiaHPXKO8lfYu6R4g
Chinese,88,3,ItZ8CzZAGXGjB8_9HxDIXg
Chinese,13,4.5,VQ5YGa4L4AT3ugF61hM9qQ
Chinese,349,4,ynIx549QFj29o84y1RSGyw
Chinese,23,4,2VQDEQuK3xLFNktPBIpmuQ
Chinese,30,3.5,vPbJRg5umcRMELTDsJik_A
Chinese,336,3.5,OvdCm3j_5HzItolfvwrEUA
Chinese,400,3.5,mOP2_wjgUMqELKDL1Y-U-A
Chinese,138,3.5,rL5F8YnQq9SY0hyece4W2w
Chinese,43,4.5,c1HgKFOT4Cc7TqWQD5mQBQ
Chinese,239,3.5,UtrW_dBuT5aqxSzx0FUICQ
Chinese,30,4.5,3OT1deSiIYhrcXWJ1sD3wA
Chinese,38,3,dP6SmZ5E5Nj64-3zZMjGSg
Chinese,216,4,vZgJyMZlpSSS_Y-duxd4_A
Chinese,44,3.5,gxEYxWqKVhs8xBw9Lvd7hA
Chinese,84,3.5,bgnM6uy66zupYzb4QdL3vA
Chinese,167,4,eMmcNV51xPKNGMCqBccPvw
Chinese,143,3,OfqANzeWRlZrdHQuG7pI0w
Chinese,389,3.5,9v-JAffC6qw8Xp67BICByQ
Chinese,47,3.5,3NYQQckItp9l7GDzALw79w
Chinese,130,3.5,bDsXyYwzk4I9_7l51D_gaA
Chinese,10,3.5,4OGtGzKP6fvRu7MfQMRSEQ
Chinese,220,3,Ece_DRuD1yQjRPJBAebRpw
Chinese,135,3.5,Jn7Wtek5_R12TKp2VUJuhw
Chinese,138,4,DNSFvZtdsqkaidmFSpm-Jw
Chinese,119,3.5,Myp2rEB3yEcdaZIRe0S3Ww
Chinese,186,3,Sj2StOWkhHIPE6_sS5RMCQ
Chinese,199,3.5,kyJ0CtJ2Lrid_YdZWobf7w
Chinese,51,3.5,2pnhIRBUw58PpN8CQEYiZA
Chinese,202,4,sMoKKcyUslHmHe0NmCYgfg
Chinese,125,3.5,LQ6x_oaOhRrlG9i8p-Fubw
Chinese,6,3.5,xZ19F2iiWiA36LAS5PH_GA
Chinese,55,3,98SsKXNs37ohAQERZbBPJg
Chinese,246,3,Qwd4Tv-CqgO2Yl9zZgkKOQ
Chinese,400,4,UiBQ8Uyu4wfOtEM1Rr8ycA
Chinese,110,4,3W6S2wraTAj5y4Cd8eQvvw
Chinese,273,4,lKxmH-hQ6ezKbq4URKrd-Q
Chinese,46,2.5,XaEFFUabnbH8ZF7ccmSAlQ
Chinese,18,4,ZBuUVSietNeZ0sCD7Z7Hdg
Chinese,66,3.5,LqMHxKckcnSRWrJ6T_irnw
Chinese,55,4,K0qsGnFv-edPDqVBdLCocQ
Chinese,168,4,gcEMZjjqy5Ucnv_5Pv-q1g
Chinese,27,3.5,3uJAt1EHG0x9pz_c91AHuQ
Chinese,656,4,U74_3F7r3tMhd6dmTmDBxQ
Chinese,55,3,rtucksGJ2MebjJ0PqjIPaw
Chinese,113,3.5,QBhHq4eN7rtFzmDUciVL-Q
Chinese,481,4,1MqGlFP3b7H77fzUkJMKgw
Chinese,137,3.5,YigPOZxASGQX1IniEyCp8g
Chinese,31,3.5,wo7-TKh4B37RTBjPNtkp7w
Chinese,40,4,96D85AGxI37JNnveZbC6CA
Chinese,72,3.5,3Qpi419I29t3sCHMzC_h-g
Chinese,2,3,mL43TXtc0WlFCfhlN0ziHQ
Chinese,51,3.5,BcOuqkUniZJG5NLpdzeOYQ
Chinese,112,4,bpeeh-kkay0ZE7mGXsCVKQ
Chinese,185,2.5,inp9N7bo9zqQSa8h8UBhqg
Chinese,455,4,bT4CDzyhV-frXV6ijvXnvw
Chinese,102,3,hdiQrGDT8enOzpxaipBzNA
Chinese,48,2.5,IQ91FltwJmIPhS6fKKf2pw
Chinese,74,3.5,bacGm8cL-vUPHdR18_M7bw
Chinese,80,3.5,YCen62jqSWhPOAorQjSZdQ
Chinese,20,3.5,Wezt_3dALzHmfXjHOPG4GQ
Chinese,1090,3.5,d_TC6Om2EBTzHVm_lCgNtg
Chinese,40,4,KavW0SjAiElP2ajaexNQDQ
Chinese,51,3.5,VDbMrjBq-XAKZTS_cgB9_A
Chinese,549,3.5,Vzx-7-jSEBz2g8NuGVhHvQ
Chinese,1619,4,NN3mOWF5e_pnR1ArqM2bHQ
Chinese,186,4,6OWMji5GiqRlRPZSb1lJ4A
Chinese,70,3,D-PPbfPcCNyKs7w0J4tMvQ
Chinese,89,4,agCuWjaUJ8xBO_PDDQRiGw
Chinese,819,4,tguMh2GgOcU9fu6WN3dqpw
Chinese,133,3,xOL2SC34gdhKHSbyaDz9BA
Chinese,93,3.5,zb78ua-FlfFRj8v082giBw
Chinese,26,4,4zuvAX0g_h_vBgE34oALhg
Chinese,87,3.5,1YGpTYD8xIuUpK_beMhzSw
Chinese,75,3.5,TadRviRC9Z1WhgSsGi3Yow
Chinese,14,3,yVI01P3ApyLlkqtOfgki7A
Chinese,17,4,5tWpAFpF618KJxBhHJzF7g
Chinese,363,4,43r4ynjeIZeQI1w7SWARuQ
Chinese,1249,3.5,L37A2JWXfwR_PgKColA8xA
Chinese,70,4,YIwYw_A_LRwK66HBTzogYQ
Chinese,155,4,iSjPBJRiWqrgxW7ZM3CGig
Chinese,32,2.5,y8Z9Tos6qtDVd0X0QVm70g
Chinese,38,3,5dzFMuClH9CDvfaUuIKWeg
Chinese,58,3,9j5r0NlYKRkBTVvnAcUcwg
Chinese,7,3.5,Pm9g4v6bpq9_OEigK0jHYA
Chinese,42,3,F2KRHRtnIAZJezs9UC2u6w
Chinese,137,3.5,rkeH5HJIuX7ZcOaYNum9xA
Chinese,261,4,ovOupYdkZOWUeDMOdt--ng
Chinese,225,3,zYoL-o9YJpGTwJ-Gmj8AFA
Chinese,208,4,3Rah-cvFk79duFQ83voQ5A
Chinese,39,3.5,AbfZkSRMtiHE3naWrN-0Eg
Chinese,17,4,akWRnF0VFJLJD4uOnGWB-g
Chinese,1749,3.5,B3i4zs5wquFu1UZyzYJ-bQ
Chinese,819,4,ev6e12vhY_0y4qE1cRhv0A
Chinese,227,3.5,a2sxaQooPmq9r7Cc-Umunw
Chinese,56,4,SNDUD4LFjVHWwrdAkokxRg
Chinese,228,3,MXYtu8-0eNkW6L4firJfcw
Chinese,17,3.5,Cj1RTtW3zZF_eDqYRZBMYQ
Chinese,74,4,sgKNAn72O2XMQXS6AWmf9w
Chinese,53,3.5,5sG_S51rleFhCKLgQpXc_g
Chinese,12,4,J_CmfwKnzYbfRHvncl7uVA
Chinese,83,3,AeLz0uoZH3hxmkcXlwUIGg
Chinese,185,2.5,LYp3izplqg0x-h9CBlb-MQ
Chinese,1,5,IQ5i53Mt-xFE73eJZZMt-A
Chinese,28,4,nXh79laNQ7leN92F5Ore-Q
Chinese,48,3,svvP8Thiit_8TX-Lfeecrw
Chinese,105,3,rJeh77RIvtmISisvVoy6TA
Chinese,30,3.5,ziwipi8JK_ik4mLaw1fTGw
Chinese,630,3.5,kWJF8L1u5jdlkLBItUu16w
Chinese,10,4.5,b7uTP_afs5Gkf66K7yDl-w
Chinese,357,3.5,dpCSDy9uefOEcY44FHss2Q
Chinese,7,4,gqUR7hd3NsxOD_JrD-iFfQ
Chinese,1094,3.5,SyvC0s3y0ZrtnLbwnvw7tw
Chinese,45,3.5,6gE9N5wD4K-bbmSEBm7Lhw
Chinese,47,4.5,MzA6gitJKqfW4VrdS7AiQw
Chinese,18,3.5,FVfQVQAcGDVFaBlrFaLkUg
Chinese,58,4,GMICEb3dqMcVftIHzh1DiQ
Chinese,2144,4,MhceeLrM2_3mcKw5EGLY6A
Chinese,80,4,pb_cHcy8D8UC-jQ-Q524ug
Chinese,575,3.5,RTFIMX31BPeZzx7kJJ1SCA
Chinese,12,4.5,2rSmA4IK51QAQj60YGvjnw
Chinese,163,4,VpInBiE272MaN1Hi0DA-Zw
Chinese,172,3.5,Tb4aUIIy74xG9wLDEwpxdw
Chinese,825,4,fPW_GBZsnBNsIzK62sCHBg
Chinese,170,3,bSi2f2TaOr4RVTI5eFt0wQ
Chinese,1616,4.5,#NAME?
Chinese,17,4.5,Xr8jXXafb0tG5oAoS07Jbg
Chinese,49,2.5,j9LAlbSiqGlvfAOt8LRRzQ
Chinese,2019,3.5,x_t-FtDa5HVgc-wecp0HBg
Chinese,46,3.5,oFBgvlELwMtvqA0gcGr96g
Chinese,32,3,ECKMWJwm_sihRQIP1ydeOA
Chinese,54,3.5,owKe1hapqCCLnme2Xr3mrA
Chinese,18,4.5,6kBMtBA9opJxZv01fiAnvg
Chinese,18,3.5,O2jCWIOWb-IhyZGZLTNNoA
Chinese,164,3.5,jpK6MMfLJwLXCzTeywyNNA
Chinese,21,4,5u4T6-Z-KhHrRZ9g54pugQ
Chinese,17,3,entLjafiBAYOvbJYHRvyrw
Chinese,71,3,pmJqb7-EckluXUk6Rtml6A
Chinese,51,3,J9kON4T_XtDPDk6jRoR5xA
Chinese,121,4,#NAME?
Chinese,104,3,kYJbGSjyXocbRrgMV-zExg
Chinese,104,3,dSaMEWm0EQTG4TOeUetU5w
Chinese,13,3,2dmgtQTFM7koKllEQsZmhQ
Chinese,50,3,51DwJDP5TOlsCQYc0GQdVQ
Chinese,46,3,PUwrkoUztUYs4VdHlK9qBg
Chinese,255,4,_XLLSXPIjgoZQtwU3RCcQA
Chinese,11,3.5,4XXzwYA8Ng1pOLSov_srDg
Chinese,29,3.5,Yo6D3B8TP_xdN1yaoNc0Ww
Chinese,20,3,nrsWSUJdNtOhV2UzPi-oOQ
Chinese,70,3,WgQkB7cbPNgj0pLin7gQtw
Chinese,84,4,JjzCmRn3q8JrlwHx8nFhAA
Chinese,12,3.5,QFjyGK3DtTGJ9-g8E7ofCw
Chinese,551,4,xH7mEjh4Rn6KdHjXYNoOjw
Chinese,156,3.5,aije_BqBVVl-6T13QsnRqQ
Chinese,89,4,BkXb82Y2OIsQ5RpNNQOYmQ
Chinese,9,4,b03GEE_pYlLCdD6yShZKqw
Chinese,33,2.5,TxaxeiUqQqcFrWrerNqgXw
Chinese,14,4,Aeiyyowii5GBL9Y-SjTxvg
Chinese,139,3.5,bAPDGHHaLZs-XEFk7ZXGVA
Chinese,49,5,f7QVr9xC8UWXdVz9QvbmNg
Chinese,261,3.5,bGOZTD9O00OkVA1Pkt3OuQ
Chinese,23,4.5,fgGRIM0b9JGIoNOAnHzROQ
Chinese,456,3.5,rGuXwUtNoDp0_GmspjYwcA
Chinese,138,4.5,HnTcWZbZJzNAYO8YseQlSQ
Chinese,5,5,z2ffmGBEhNUrmYEAWGx1Vw
Chinese,101,4,DpfE0gPBXj-aj2pnEh4E2Q
Chinese,14,4,s_N9uqqUqjgL7O-bHKZ80w
Chinese,77,4,55jx0bYJ-odyqKKSrDXtPA
Chinese,18,4,RCzBcrOgc2ZWzXmkdmb6QA
Chinese,33,3.5,4-03VyMoFlXipCKh-aQcoA
Chinese,62,4.5,bRL9IQG2gpdAAEcaa8V0Qg
Chinese,123,2.5,U0EJ4URMoFHJEzAkMp4WWQ
Chinese,27,4,Qd4LleGL1MU7hcBYXcyVSA
Chinese,77,3.5,qH8PVeddtVs9cKN2pwgdkQ
Chinese,112,4.5,#NAME?
Chinese,12,3,EVQQ1Fs1YNlKd4HuxmzlJQ
Chinese,47,4,wjhtsakYuglCXwPaUFN4-g
Chinese,23,4.5,d6i6sGHtPmyUkHze5S1lIQ
Chinese,24,4,gAugxpTjPNbMK86dvXirJQ
Chinese,48,4.5,dhR4FMfoN0-MT5JOs7B-5g
Chinese,60,3,JRSAnPCs3jgiRVvE9j2S7g
Chinese,711,3.5,6LfskUyZzmcDSV6h5kOwGw
Chinese,98,4,L2ZW-MdvRJ3gM2RIq8STbA
Chinese,449,4,vQe7_ZW_jBSWKtgSiXGIOA
Chinese,23,4.5,etU9gCufydWxkm44Y_esyA
Chinese,1,5,gvAzBcK3YZf6UQqOerqF2w
Chinese,317,4,rCCZWRpuzW3FhAHN2BB1Eg
Chinese,32,3.5,vC3yBLteaaPp0ycXRtfwPA
Chinese,287,4,kNOr6_g6QfBHdhf89j3g5w
Chinese,6,3.5,siWkEWRj6ipcMMY5EGWPrQ
Chinese,8,4,7wrFd9tnIBMClzDnrWdSNw
Chinese,52,3,6uPtOyrxXV8y1y8pvLU2pA
Chinese,185,4.5,RYoc4EBUNOtgbg7c32OG9A
Chinese,1938,3.5,FH978pIP1TLRuPAH-MbWIQ
Chinese,189,4,V9cBgn2RFLurwg6lwuLH7w
Chinese,135,4,zqyGYIiCXL1Hz8KVZxbylQ
Chinese,243,4,za9mYaRVWkwKkQfjRgvU0g
Chinese,4,3.5,X_m7eCAdLRLlrxpIgjy5xg
Chinese,36,3,yVDNPV0Yf3vQAsXTJett1g
Chinese,13,3,w0KRT7v9_hsVkcRVMsD2Jg
Chinese,51,4.5,rPTX2J5KGDkN1QhPD-QOvg
Chinese,16,4,RQRQOO_CGhj16AIz4KqlQA
Chinese,35,4,PkA0eLD1AZ0voGAmUSG9mg
Chinese,27,2.5,OHqazo2j-RLZnLWo_YRnDw
Chinese,128,4,qFZuYdXy57_ydnsEFdfOxA
Chinese,128,4,tS4aiWBYgzlqKX898jr3_w
Chinese,80,3.5,-4pRolL6EQddbv4iHrIZwQ
Chinese,17,3,SSvIOFoNkq3ARqWo5PbYwg
Chinese,236,4,u0qfikB-ppp6UwoNKqxlRw
Chinese,29,2.5,__r8_g1cgDaiDn10cGeJ3Q
Chinese,143,3.5,nBm-zxAWg_oA8JNtHxPvcw
Chinese,176,4,AfF4zVbVI27zwgkzOLYDFg
Chinese,218,2.5,qpFoZi5PqY7KVWCRNOmFGw
Chinese,205,3.5,7hyQqnnAisSL-nfIWCPziQ
Chinese,155,3.5,CesS-E8Q3ztX6VnkXO6wBg
Chinese,74,3.5,DtkyPDGAodq5bAesiFa-JQ
Chinese,3,4.5,E7q1Qf6380N_aMqz28EgNw
Chinese,20,3.5,OQ93Z1tAmdPqK7twEEvISA
Chinese,8,3.5,5YbnCuCq3peyUXwlMIC-SQ
Chinese,55,4.5,DjLxykRuP8OFtGtPPZpfdQ
Chinese,47,2.5,rHA9M0XOJL6O11xaEiDurA
Chinese,51,2.5,XwB2qg5lN1oX2_ccyO515g
Chinese,4,3,OpOwJYqJRgRnoBKKPYwdTQ
Chinese,30,3.5,vkgl6UT8e7PXoVZUhxXq8w
Chinese,870,3.5,84zvcPTAVCsSVtzCUtSDtA
Chinese,10,2.5,urgY8rqEwAr1cpQdoufKAA
Chinese,6,3,#NAME?
Chinese,114,4.5,pepM7-yv4-jCT6S1nl6fPg
Chinese,146,4.5,O1fUmxt3kbV-rnyjBtzAfw
Chinese,576,4,iXmDaPsgylG1kHPLli15MQ
Chinese,39,3,aPI3_mdisxIOo9EwBEJPZQ
Chinese,24,4.5,_4UvguU5z2hMsHXlYedFXw
Chinese,183,3.5,AEkpyAGcVe5NgH2Nb7fCNQ
Chinese,30,3,_PJ_XVxkiStr04GkpWXSVA
Chinese,26,3.5,3DmJv5rHFNyQykaUiXBOvA
Chinese,178,3,Dj0jblwuWTftL1D7_Kun6Q
Chinese,69,3,BJT8aEHbK538gJ8Cx8AQVQ
Chinese,177,4,_haIj6t4bGOmbIl3xtihpg
Chinese,89,4,nrPfcOC4mGnEL-9CpoGhMg
Chinese,10,4.5,E1fFQqXuO2Ido9hGDmTbDg
Chinese,52,2.5,4Vbzq9AD0wjSczpAvHUR9Q
Chinese,105,3,XoxEVVf5Ci8nibQ-Q4P0nQ
Chinese,67,3.5,C6NvtFvXo86_kEWi3qBYWQ
Chinese,14,3,4jRVqVqkCNFwV8xxh2Jo3Q
Chinese,5,3.5,aPThNhqjq5rfN9c8ykcarA
Chinese,451,3.5,53y6b_-YaptXhlm2-STzeA
Chinese,56,3.5,RUnj4RTVOSbbHE5zyguhrg
Chinese,38,3.5,J2IJkTqn6RQh2n0yV1aiGQ
Chinese,208,4,BTWWgZrMo_pS_BK-TYO92g
Chinese,84,4,Q1TpfbuPwKPFrNFyu-u2_g
Chinese,30,3.5,ayw4_D-wSCIr-xcJ3_aZ4A
Chinese,32,4,TjB0wn5MyHM5rDMBCSCnfw
Chinese,86,3,5yHuB6cT4Y82u22kOziobw
Chinese,15,3.5,5W89QQZqPJazBS80anuu3Q
Chinese,954,3.5,ZUBqQZwMGZSOVbfpOI_uyg
Chinese,108,3.5,TWI3efEcCVsTErKFWz4Zqg
Chinese,113,3,56wxE888GknVcUeAXBfqFw
Chinese,11,2.5,_Acmtq5Nnv4Xmqmz914CUg
Chinese,34,4,Mx4jHwGh5ZFHRMyiWZ_xfw
Chinese,5,5,k_y6o8zqI3cODdKABwWZ9g
