RestaurantID,Cuisine,NumberOfReviews,Rating
9-vKFnUby_6-pR6UJxjzMw,Chinese,123,4.5
JaKLZrh1Y_2qB_0Gc3bk3A,Chinese,409,3
54om5q7V4anmIXw2PdNJbA,Chinese,25,4
DOa_Hm5HHT99GOvlhbydaQ,Chinese,37,4
97q5nUQTuBo_h00XCxna2A,Chinese,1353,4
8FJ8XVa-duF8rPeyfscUPg,Chinese,112,3.5
bcqTacyE-0XDaZYG_xbTBQ,Chinese,229,4
Va_mnsEvBghHXvc7uZIWJQ,Chinese,474,4
oe8GEFE4QLFAKt87y7zcgA,Chinese,464,4
WRRs3smfm6rHP5k4Slzr3w,Chinese,128,3
B87c3bE_u53yNYO1cmHSIw,Chinese,463,4
omOPvWNdukvWOC0peXPyng,Chinese,145,4
Lbs8QBRN1U7IYBo5Mcv-RQ,Chinese,1365,4
Qn-qGoIkj-9uApdxb_VTeA,Chinese,384,3.5
vSkCDRWX6VvP4PJHHFgoDw,Chinese,8,4
4p5Fzyt3-mEYFKIYqZ54aA,Chinese,21,4.5
yDfgB1nvvuABZVzVjoJV7A,Chinese,58,4
_fZQDgmasvWBtCTj9583lg,Chinese,10,4
EFihj7vsRRXiF5la-UURyw,Chinese,688,3.5
R3UNnA8EbjhNWBHS0wJ0VA,Chinese,218,3.5
01m-oqxaCifh0s0eU03bBg,Chinese,54,3
hWkbadE0u-Eiqg9SAm176Q,Chinese,44,3
NmJ2xtfZrscfWB_a5wEbXQ,Chinese,161,3.5
k8GFfCXO2FIIJIo0ICYSRA,Chinese,33,4.5
tA_AoGEL_oGllbU2j77Shw,Chinese,18,5
unz_YBwCWg-O5id5rxSyDA,Chinese,146,3.5
WIj12zDqIbBucW1hXYhrew,Chinese,158,4
gQ6DNeLNWQV-zwWyuFeBpg,Chinese,138,3
rEbwps11tIERRkwQrIXQog,Chinese,734,3.5
5TnBfeoBpxPPwIXMGBMasg,Chinese,52,4
3ESDUFulPVoMJdsqPQGm0A,Chinese,73,3.5
ZdLS7gD1ulmCPkqNc9_S3A,Chinese,103,4
rYw5rQbWRX9buZHZbxqWdA,Chinese,1352,3.5
KSYV3rNYaKWW-AHN4_i-7A,Chinese,92,3.5
uaFHoq-a5XqxF-bsOK9_Qg,Chinese,758,3.5
EN9_LsFpY44Hkzcnu0jfIg,Chinese,26,4
ybQV8joopvU1_gG2RwLRog,Chinese,72,3
AgTj_2PYIKP519hexQCvCg,Chinese,283,3.5
zubN8Ve-RyoljRZV4NRxEQ,Chinese,1137,3.5
E1QQuFMX7DAEt8jV4attkA,Chinese,81,3.5
5RjZCsXuWPclyrDsnsXw7w,Chinese,99,4
WzdVUuFIv1JzLPTZRnTjVA,Chinese,175,4
XfHgiIsoo1Pr_v04bx9ptg,Chinese,70,4.5
U5dCWjAxrvLLMH1ErpGfvw,Chinese,97,3.5
l1nX-f46dmOEmYPoiuLSaw,Chinese,348,3.5
Cyv-tW4BljwWnP16HI_zAg,Chinese,23,3.5
