RestaurantID,Cuisine,Name,NumberOfReviews,Rating,Location,Coordinates
i6RhqnCJ_oUfTu5LikGXUg,Chinese,Dun Huang,8,5,"{'address1': '300 E 12th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['300 E 12th St', 'New York, NY 10003']}","{'latitude': 40.73081, 'longitude': -73.98568}"
dDXtga5Kgo5B1twdezcZJA,Chinese,Auntie Guan's Kitchen 108,270,4,"{'address1': '108 W 14th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['108 W 14th St', 'New York, NY 10011']}","{'latitude': 40.7377213477598, 'longitude': -73.9974148512518}"
jc7lVTvmYMIK5RNpENtS6w,Chinese,Szechuan Mountain House,95,4,"{'address1': '23 St Marks Pl', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['23 St Marks Pl', 'New York, NY 10003']}","{'latitude': 40.72911, 'longitude': -73.98858}"
eVDV1ALwvre01Xo8v6BCoQ,Chinese,La Salle Dumpling Room,86,4,"{'address1': '35 W End Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['35 W End Ave', 'New York, NY 10023']}","{'latitude': 40.7731596, 'longitude': -73.98951}"
BPErPpKSNluwcjbKRgze3w,Chinese,Xi'an Famous Foods,385,4,"{'address1': '328 E 78th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['328 E 78th St', 'New York, NY 10075']}","{'latitude': 40.77197, 'longitude': -73.95452}"
gJXNSJ9VXTuCFmp_Kl9TVQ,Chinese,Shanghai,65,4,"{'address1': '1388 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1388 2nd Ave', 'New York, NY 10021']}","{'latitude': 40.768291, 'longitude': -73.958381}"
ZCAkVl5SeCDeBWg_xjfYeg,Chinese,Clay Pot NYC,57,4.5,"{'address1': ""58 St Mark's Pl"", 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': [""58 St Mark's Pl"", 'New York, NY 10003']}","{'latitude': 40.7279880270274, 'longitude': -73.9865907985248}"
a93NwZxjkPQydJxR42oPyg,Chinese,Grain House,12,3.5,"{'address1': '929 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['929 Amsterdam Ave', 'New York, NY 10025']}","{'latitude': 40.800127673827, 'longitude': -73.9657538384199}"
tsHdT1GDibhYYA0JA7Z9tg,Chinese,Xi'an Famous Foods,268,4,"{'address1': '37 W 54th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['37 W 54th St', 'New York, NY 10019']}","{'latitude': 40.7620964050293, 'longitude': -73.9773178100586}"
0vg2Z-HPwkyVVX613j2ysg,Chinese,Peng's Noodle Folk,261,4.5,"{'address1': '1659 1st Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1659 1st Ave', 'New York, NY 10028']}","{'latitude': 40.77726, 'longitude': -73.94932}"
